tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:231/4768 | loss 0.167989 | train_time:1990.84s | step_avg:8581.23ms
step:232/4768 | loss 0.167299 | train_time:1999.41s | step_avg:8581.15ms
step:233/4768 | loss 0.167348 | train_time:2007.98s | step_avg:8581.12ms
step:234/4768 | loss 0.166867 | train_time:2016.55s | step_avg:8581.05ms
step:235/4768 | loss 0.169719 | train_time:2025.11s | step_avg:8580.99ms
step:236/4768 | loss 0.167571 | train_time:2033.68s | step_avg:8580.93ms
step:237/4768 | loss 0.169070 | train_time:2042.26s | step_avg:8580.92ms
step:238/4768 | loss 0.168402 | train_time:2050.84s | step_avg:8580.91ms
step:239/4768 | loss 0.164805 | train_time:2059.42s | step_avg:8580.90ms
step:240/4768 | loss 0.167819 | train_time:2067.98s | step_avg:8580.82ms
step:241/4768 | loss 0.169492 | train_time:2076.54s | step_avg:8580.73ms
step:242/4768 | loss 0.168868 | train_time:2085.10s | step_avg:8580.67ms
step:243/4768 | loss 0.165055 | train_time:2093.68s | step_avg:8580.64ms
step:244/4768 | loss 0.165690 | train_time:2102.25s | step_avg:8580.61ms
step:245/4768 | loss 0.165507 | train_time:2110.81s | step_avg:8580.54ms
step:246/4768 | loss 0.166115 | train_time:2119.38s | step_avg:8580.48ms
step:247/4768 | loss 0.165527 | train_time:2127.95s | step_avg:8580.46ms
step:248/4768 | loss 0.165690 | train_time:2136.52s | step_avg:8580.39ms
step:249/4768 | loss 0.167357 | train_time:2145.09s | step_avg:8580.35ms
step:250/4768 | loss 0.165622 | train_time:2153.65s | step_avg:8580.30ms
step:251/4768 | loss 0.168323 | train_time:2162.23s | step_avg:8580.28ms
step:252/4768 | loss 0.165889 | train_time:2170.79s | step_avg:8580.19ms
step:253/4768 | loss 0.165296 | train_time:2179.36s | step_avg:8580.14ms
step:254/4768 | loss 0.163714 | train_time:2187.94s | step_avg:8580.16ms
step:255/4768 | loss 0.165512 | train_time:2196.53s | step_avg:8580.18ms
step:256/4768 | val loss 5.298293
step:256/4768 | loss 0.164507 | train_time:2205.10s | step_avg:8580.14ms
step:257/4768 | loss 0.165509 | train_time:2213.67s | step_avg:8580.10ms
step:258/4768 | loss 0.163864 | train_time:2222.25s | step_avg:8580.13ms
step:259/4768 | loss 0.162727 | train_time:2230.82s | step_avg:8580.09ms
step:260/4768 | loss 0.162459 | train_time:2239.40s | step_avg:8580.07ms
step:261/4768 | loss 0.161505 | train_time:2247.96s | step_avg:8580.01ms
step:262/4768 | loss 0.164653 | train_time:2256.53s | step_avg:8579.97ms
step:263/4768 | loss 0.163707 | train_time:2265.11s | step_avg:8579.95ms
step:264/4768 | loss 0.163128 | train_time:2273.68s | step_avg:8579.91ms
step:265/4768 | loss 0.162244 | train_time:2282.24s | step_avg:8579.85ms
step:266/4768 | loss 0.162129 | train_time:2290.81s | step_avg:8579.82ms
step:267/4768 | loss 0.162014 | train_time:2299.39s | step_avg:8579.81ms
step:268/4768 | loss 0.160187 | train_time:2307.96s | step_avg:8579.78ms
step:269/4768 | loss 0.161838 | train_time:2316.52s | step_avg:8579.70ms
step:270/4768 | loss 0.161686 | train_time:2325.09s | step_avg:8579.66ms
step:271/4768 | loss 0.162730 | train_time:2333.65s | step_avg:8579.61ms
step:272/4768 | loss 0.160381 | train_time:2342.22s | step_avg:8579.55ms
step:273/4768 | loss 0.162985 | train_time:2350.77s | step_avg:8579.47ms
step:274/4768 | loss 0.160460 | train_time:2359.33s | step_avg:8579.40ms
step:275/4768 | loss 0.162323 | train_time:2367.91s | step_avg:8579.39ms
step:276/4768 | loss 0.161182 | train_time:2376.49s | step_avg:8579.38ms
step:277/4768 | loss 0.160035 | train_time:2385.07s | step_avg:8579.39ms
step:278/4768 | loss 0.159476 | train_time:2393.65s | step_avg:8579.38ms
step:279/4768 | loss 0.158907 | train_time:2402.22s | step_avg:8579.37ms
step:280/4768 | loss 0.161115 | train_time:2410.80s | step_avg:8579.37ms
step:281/4768 | loss 0.163271 | train_time:2419.38s | step_avg:8579.36ms
step:282/4768 | loss 0.159280 | train_time:2427.96s | step_avg:8579.36ms
step:283/4768 | loss 0.160381 | train_time:2436.54s | step_avg:8579.38ms
step:284/4768 | loss 0.158799 | train_time:2445.14s | step_avg:8579.42ms
step:285/4768 | loss 0.161985 | train_time:2453.71s | step_avg:8579.42ms
step:286/4768 | loss 0.159892 | train_time:2462.30s | step_avg:8579.45ms
step:287/4768 | loss 0.159631 | train_time:2470.88s | step_avg:8579.45ms
step:288/4768 | loss 0.158622 | train_time:2479.47s | step_avg:8579.48ms
step:289/4768 | loss 0.159240 | train_time:2488.05s | step_avg:8579.48ms
step:290/4768 | loss 0.160449 | train_time:2496.63s | step_avg:8579.48ms
step:291/4768 | loss 0.158227 | train_time:2505.21s | step_avg:8579.48ms
step:292/4768 | loss 0.159757 | train_time:2513.78s | step_avg:8579.47ms
step:293/4768 | loss 0.157821 | train_time:2522.37s | step_avg:8579.47ms
step:294/4768 | loss 0.162203 | train_time:2530.94s | step_avg:8579.47ms
step:295/4768 | loss 0.158428 | train_time:2539.52s | step_avg:8579.45ms
step:296/4768 | loss 0.159434 | train_time:2548.10s | step_avg:8579.45ms
step:297/4768 | loss 0.159554 | train_time:2556.67s | step_avg:8579.44ms
step:298/4768 | loss 0.156445 | train_time:2565.24s | step_avg:8579.40ms
step:299/4768 | loss 0.158059 | train_time:2573.81s | step_avg:8579.36ms
step:300/4768 | loss 0.156202 | train_time:2582.38s | step_avg:8579.33ms
step:301/4768 | loss 0.156940 | train_time:2590.95s | step_avg:8579.31ms
step:302/4768 | loss 0.156024 | train_time:2599.53s | step_avg:8579.30ms
step:303/4768 | loss 0.155982 | train_time:2608.10s | step_avg:8579.29ms
step:304/4768 | loss 0.157453 | train_time:2616.67s | step_avg:8579.24ms
step:305/4768 | loss 0.154874 | train_time:2625.23s | step_avg:8579.18ms
step:306/4768 | loss 0.154990 | train_time:2633.80s | step_avg:8579.14ms
step:307/4768 | loss 0.156282 | train_time:2642.37s | step_avg:8579.13ms
step:308/4768 | loss 0.153850 | train_time:2650.94s | step_avg:8579.08ms
step:309/4768 | loss 0.158783 | train_time:2659.50s | step_avg:8579.02ms
step:310/4768 | loss 0.158118 | train_time:2668.06s | step_avg:8578.97ms
step:311/4768 | loss 0.157124 | train_time:2676.63s | step_avg:8578.96ms
step:312/4768 | loss 0.156811 | train_time:2685.20s | step_avg:8578.92ms
step:313/4768 | loss 0.157431 | train_time:2693.76s | step_avg:8578.87ms
step:314/4768 | loss 0.156735 | train_time:2702.33s | step_avg:8578.81ms
step:315/4768 | loss 0.154868 | train_time:2710.89s | step_avg:8578.77ms
step:316/4768 | loss 0.155072 | train_time:2719.46s | step_avg:8578.75ms
step:317/4768 | loss 0.154570 | train_time:2728.04s | step_avg:8578.74ms
step:318/4768 | loss 0.153977 | train_time:2736.61s | step_avg:8578.71ms
step:319/4768 | loss 0.156783 | train_time:2745.18s | step_avg:8578.70ms
step:320/4768 | loss 0.153743 | train_time:2753.76s | step_avg:8578.70ms
step:321/4768 | loss 0.155782 | train_time:2762.34s | step_avg:8578.69ms
step:322/4768 | loss 0.154095 | train_time:2770.92s | step_avg:8578.71ms
step:323/4768 | loss 0.156571 | train_time:2779.51s | step_avg:8578.72ms
step:324/4768 | loss 0.153806 | train_time:2788.09s | step_avg:8578.73ms
step:325/4768 | loss 0.154893 | train_time:2796.72s | step_avg:8578.88ms
step:326/4768 | loss 0.155021 | train_time:2805.29s | step_avg:8578.86ms
step:327/4768 | loss 0.155136 | train_time:2813.85s | step_avg:8578.81ms
step:328/4768 | loss 0.152965 | train_time:2822.41s | step_avg:8578.75ms
step:329/4768 | loss 0.154107 | train_time:2830.97s | step_avg:8578.71ms
step:330/4768 | loss 0.151812 | train_time:2839.56s | step_avg:8578.72ms
step:331/4768 | loss 0.153544 | train_time:2848.13s | step_avg:8578.71ms
step:332/4768 | loss 0.151646 | train_time:2856.70s | step_avg:8578.68ms
step:333/4768 | loss 0.150123 | train_time:2865.27s | step_avg:8578.64ms
step:334/4768 | loss 0.152556 | train_time:2873.84s | step_avg:8578.62ms
step:335/4768 | loss 0.154297 | train_time:2882.41s | step_avg:8578.61ms
step:336/4768 | loss 0.158057 | train_time:2890.98s | step_avg:8578.57ms
step:337/4768 | loss 0.156100 | train_time:2899.55s | step_avg:8578.56ms
step:338/4768 | loss 0.151455 | train_time:2908.12s | step_avg:8578.53ms
step:339/4768 | loss 0.150903 | train_time:2916.68s | step_avg:8578.47ms
step:340/4768 | loss 0.150822 | train_time:2925.25s | step_avg:8578.45ms
step:341/4768 | loss 0.150327 | train_time:2933.82s | step_avg:8578.41ms
step:342/4768 | loss 0.152472 | train_time:2942.39s | step_avg:8578.38ms
step:343/4768 | loss 0.152260 | train_time:2950.95s | step_avg:8578.33ms
step:344/4768 | loss 0.150141 | train_time:2959.51s | step_avg:8578.28ms
step:345/4768 | loss 0.148994 | train_time:2968.08s | step_avg:8578.26ms
step:346/4768 | loss 0.150467 | train_time:2976.66s | step_avg:8578.27ms
step:347/4768 | loss 0.148947 | train_time:2985.25s | step_avg:8578.29ms
step:348/4768 | loss 0.149567 | train_time:2993.82s | step_avg:8578.28ms
