tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 11.018694
step:209/4768 | loss 0.171690 | train_time:1879.19s | step_avg:8948.53ms
step:210/4768 | loss 0.172994 | train_time:1888.12s | step_avg:8948.44ms
step:211/4768 | loss 0.173421 | train_time:1897.05s | step_avg:8948.35ms
step:212/4768 | loss 0.172553 | train_time:1905.98s | step_avg:8948.26ms
step:213/4768 | loss 0.172364 | train_time:1914.91s | step_avg:8948.17ms
step:214/4768 | loss 0.171628 | train_time:1923.84s | step_avg:8948.10ms
step:215/4768 | loss 0.172758 | train_time:1932.78s | step_avg:8948.05ms
step:216/4768 | loss 0.170218 | train_time:1941.71s | step_avg:8947.99ms
step:217/4768 | loss 0.170678 | train_time:1950.65s | step_avg:8947.95ms
step:218/4768 | loss 0.170219 | train_time:1959.62s | step_avg:8948.01ms
step:219/4768 | loss 0.169662 | train_time:1968.65s | step_avg:8948.39ms
step:220/4768 | loss 0.169980 | train_time:1977.58s | step_avg:8948.32ms
step:221/4768 | loss 0.168637 | train_time:1986.51s | step_avg:8948.26ms
step:222/4768 | loss 0.169608 | train_time:1995.45s | step_avg:8948.20ms
step:223/4768 | loss 0.170894 | train_time:2004.38s | step_avg:8948.14ms
step:224/4768 | loss 0.169342 | train_time:2013.31s | step_avg:8948.06ms
step:225/4768 | loss 0.167385 | train_time:2022.24s | step_avg:8947.99ms
step:226/4768 | loss 0.168643 | train_time:2031.19s | step_avg:8947.97ms
step:227/4768 | loss 0.170744 | train_time:2040.13s | step_avg:8947.94ms
step:228/4768 | loss 0.169315 | train_time:2049.08s | step_avg:8947.96ms
step:229/4768 | loss 0.171362 | train_time:2058.02s | step_avg:8947.92ms
step:230/4768 | loss 0.167691 | train_time:2066.96s | step_avg:8947.89ms
step:231/4768 | loss 0.169439 | train_time:2075.90s | step_avg:8947.83ms
step:232/4768 | loss 0.168819 | train_time:2084.83s | step_avg:8947.77ms
step:233/4768 | loss 0.168552 | train_time:2093.77s | step_avg:8947.74ms
step:234/4768 | loss 0.168163 | train_time:2102.72s | step_avg:8947.73ms
step:235/4768 | loss 0.170002 | train_time:2111.65s | step_avg:8947.67ms
step:236/4768 | loss 0.168148 | train_time:2120.59s | step_avg:8947.62ms
step:237/4768 | loss 0.169658 | train_time:2129.53s | step_avg:8947.61ms
step:238/4768 | loss 0.169311 | train_time:2138.46s | step_avg:8947.55ms
step:239/4768 | loss 0.165380 | train_time:2147.40s | step_avg:8947.49ms
step:240/4768 | loss 0.168439 | train_time:2156.33s | step_avg:8947.44ms
step:241/4768 | loss 0.170069 | train_time:2165.26s | step_avg:8947.36ms
step:242/4768 | loss 0.170042 | train_time:2174.19s | step_avg:8947.30ms
step:243/4768 | loss 0.166959 | train_time:2183.14s | step_avg:8947.28ms
step:244/4768 | loss 0.167433 | train_time:2192.08s | step_avg:8947.26ms
step:245/4768 | loss 0.166340 | train_time:2201.01s | step_avg:8947.20ms
step:246/4768 | loss 0.166212 | train_time:2209.95s | step_avg:8947.16ms
step:247/4768 | loss 0.165888 | train_time:2218.89s | step_avg:8947.12ms
step:248/4768 | loss 0.164503 | train_time:2227.82s | step_avg:8947.07ms
step:249/4768 | loss 0.166579 | train_time:2236.75s | step_avg:8947.02ms
step:250/4768 | loss 0.164903 | train_time:2245.70s | step_avg:8947.01ms
step:251/4768 | loss 0.167337 | train_time:2254.64s | step_avg:8946.99ms
step:252/4768 | loss 0.165186 | train_time:2263.58s | step_avg:8946.97ms
step:253/4768 | loss 0.165817 | train_time:2272.56s | step_avg:8947.09ms
step:254/4768 | loss 0.163763 | train_time:2281.50s | step_avg:8947.05ms
step:255/4768 | loss 0.165959 | train_time:2290.46s | step_avg:8947.12ms
step:256/4768 | val loss 5.315723
step:256/4768 | [-0.003, -0.013, -0.014, -0.013, -0.012, -0.01, -0.008, -0.006, -0.005, -0.004, -0.002, -0.001]
step:256/4768 | loss 0.165037 | train_time:2299.42s | step_avg:8947.18ms
step:257/4768 | loss 0.165945 | train_time:2308.38s | step_avg:8947.21ms
step:258/4768 | loss 0.164167 | train_time:2317.35s | step_avg:8947.28ms
step:259/4768 | loss 0.163161 | train_time:2326.29s | step_avg:8947.29ms
step:260/4768 | loss 0.163136 | train_time:2335.27s | step_avg:8947.40ms
step:261/4768 | loss 0.161581 | train_time:2344.22s | step_avg:8947.40ms
step:262/4768 | loss 0.163969 | train_time:2353.19s | step_avg:8947.49ms
step:263/4768 | loss 0.162789 | train_time:2362.14s | step_avg:8947.49ms
step:264/4768 | loss 0.162362 | train_time:2371.08s | step_avg:8947.48ms
step:265/4768 | loss 0.161488 | train_time:2380.03s | step_avg:8947.47ms
step:266/4768 | loss 0.161507 | train_time:2388.97s | step_avg:8947.45ms
step:267/4768 | loss 0.162157 | train_time:2397.91s | step_avg:8947.44ms
step:268/4768 | loss 0.159980 | train_time:2406.85s | step_avg:8947.41ms
step:269/4768 | loss 0.162157 | train_time:2415.79s | step_avg:8947.38ms
step:270/4768 | loss 0.162151 | train_time:2424.74s | step_avg:8947.39ms
step:271/4768 | loss 0.162585 | train_time:2433.69s | step_avg:8947.39ms
step:272/4768 | loss 0.160716 | train_time:2442.64s | step_avg:8947.40ms
step:273/4768 | loss 0.164122 | train_time:2451.59s | step_avg:8947.40ms
step:274/4768 | loss 0.161887 | train_time:2460.53s | step_avg:8947.38ms
step:275/4768 | loss 0.163092 | train_time:2469.48s | step_avg:8947.38ms
step:276/4768 | loss 0.162231 | train_time:2478.43s | step_avg:8947.40ms
step:277/4768 | loss 0.161733 | train_time:2487.38s | step_avg:8947.42ms
step:278/4768 | loss 0.161181 | train_time:2496.33s | step_avg:8947.43ms
step:279/4768 | loss 0.159796 | train_time:2505.28s | step_avg:8947.44ms
step:280/4768 | loss 0.162340 | train_time:2514.25s | step_avg:8947.51ms
step:281/4768 | loss 0.163835 | train_time:2523.20s | step_avg:8947.53ms
step:282/4768 | loss 0.159934 | train_time:2532.16s | step_avg:8947.57ms
step:283/4768 | loss 0.160537 | train_time:2541.17s | step_avg:8947.77ms
step:284/4768 | loss 0.158748 | train_time:2550.17s | step_avg:8947.96ms
step:285/4768 | loss 0.161639 | train_time:2559.12s | step_avg:8947.97ms
step:286/4768 | loss 0.159478 | train_time:2568.06s | step_avg:8947.95ms
step:287/4768 | loss 0.159466 | train_time:2577.00s | step_avg:8947.92ms
step:288/4768 | loss 0.158805 | train_time:2585.94s | step_avg:8947.90ms
step:289/4768 | loss 0.159278 | train_time:2594.88s | step_avg:8947.88ms
step:290/4768 | loss 0.160787 | train_time:2603.84s | step_avg:8947.90ms
step:291/4768 | loss 0.158423 | train_time:2612.78s | step_avg:8947.87ms
step:292/4768 | loss 0.160649 | train_time:2621.72s | step_avg:8947.84ms
step:293/4768 | loss 0.158070 | train_time:2630.65s | step_avg:8947.80ms
step:294/4768 | loss 0.162591 | train_time:2639.59s | step_avg:8947.76ms
step:295/4768 | loss 0.158528 | train_time:2648.52s | step_avg:8947.70ms
step:296/4768 | loss 0.160024 | train_time:2657.45s | step_avg:8947.64ms
step:297/4768 | loss 0.159914 | train_time:2666.38s | step_avg:8947.58ms
step:298/4768 | loss 0.157248 | train_time:2675.31s | step_avg:8947.54ms
step:299/4768 | loss 0.158941 | train_time:2684.25s | step_avg:8947.50ms
step:300/4768 | loss 0.156818 | train_time:2693.18s | step_avg:8947.45ms
step:301/4768 | loss 0.157474 | train_time:2702.11s | step_avg:8947.40ms
step:302/4768 | loss 0.156135 | train_time:2711.05s | step_avg:8947.34ms
step:303/4768 | loss 0.156620 | train_time:2719.98s | step_avg:8947.29ms
step:304/4768 | loss 0.157946 | train_time:2728.91s | step_avg:8947.23ms
step:305/4768 | loss 0.155183 | train_time:2737.84s | step_avg:8947.18ms
step:306/4768 | loss 0.155128 | train_time:2746.77s | step_avg:8947.13ms
step:307/4768 | loss 0.156665 | train_time:2755.70s | step_avg:8947.08ms
step:308/4768 | loss 0.154781 | train_time:2764.64s | step_avg:8947.04ms
step:309/4768 | loss 0.158568 | train_time:2773.58s | step_avg:8947.02ms
step:310/4768 | loss 0.158416 | train_time:2782.52s | step_avg:8947.01ms
step:311/4768 | loss 0.157432 | train_time:2791.45s | step_avg:8946.97ms
step:312/4768 | loss 0.156064 | train_time:2800.39s | step_avg:8946.94ms
step:313/4768 | loss 0.157009 | train_time:2809.33s | step_avg:8946.92ms
step:314/4768 | loss 0.155958 | train_time:2818.27s | step_avg:8946.89ms
step:315/4768 | loss 0.154216 | train_time:2827.21s | step_avg:8946.86ms
step:316/4768 | loss 0.155004 | train_time:2836.15s | step_avg:8946.84ms
step:317/4768 | loss 0.154116 | train_time:2845.09s | step_avg:8946.82ms
step:318/4768 | loss 0.153747 | train_time:2854.04s | step_avg:8946.82ms
step:319/4768 | loss 0.156614 | train_time:2862.99s | step_avg:8946.83ms
step:320/4768 | loss 0.153744 | train_time:2871.94s | step_avg:8946.85ms
step:321/4768 | loss 0.155513 | train_time:2880.89s | step_avg:8946.86ms
step:322/4768 | loss 0.154571 | train_time:2889.89s | step_avg:8947.01ms
step:323/4768 | loss 0.157026 | train_time:2898.85s | step_avg:8947.06ms
step:324/4768 | loss 0.154555 | train_time:2907.79s | step_avg:8947.04ms
step:325/4768 | loss 0.155970 | train_time:2916.73s | step_avg:8947.02ms
step:326/4768 | loss 0.156029 | train_time:2925.67s | step_avg:8947.00ms
step:327/4768 | loss 0.156176 | train_time:2934.61s | step_avg:8946.98ms
step:328/4768 | loss 0.153885 | train_time:2943.55s | step_avg:8946.95ms
step:329/4768 | loss 0.155050 | train_time:2952.49s | step_avg:8946.95ms
step:330/4768 | loss 0.152048 | train_time:2961.45s | step_avg:8946.99ms
step:331/4768 | loss 0.153970 | train_time:2970.41s | step_avg:8947.01ms
step:332/4768 | loss 0.152222 | train_time:2979.35s | step_avg:8947.01ms
step:333/4768 | loss 0.150269 | train_time:2988.30s | step_avg:8947.01ms
step:334/4768 | loss 0.152980 | train_time:2997.24s | step_avg:8947.00ms
step:335/4768 | loss 0.154956 | train_time:3006.18s | step_avg:8946.98ms
step:336/4768 | loss 0.158131 | train_time:3015.13s | step_avg:8946.97ms
step:337/4768 | loss 0.156468 | train_time:3024.08s | step_avg:8946.98ms
step:338/4768 | loss 0.152113 | train_time:3033.03s | step_avg:8946.99ms
step:339/4768 | loss 0.150731 | train_time:3041.98s | step_avg:8946.99ms
step:340/4768 | loss 0.150624 | train_time:3050.92s | step_avg:8946.99ms
step:341/4768 | loss 0.150361 | train_time:3059.87s | step_avg:8946.98ms
